twa/tws;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
11;0;0.18;0.359;0.539;0.718;0.96;1.135;0.89;0.923;0.84;0.909;0.895;1.279;1.335;1.364;1.389;1.424;1.459;1.537;1.551;1.52;1.34;1.097;1.551;1.576;1.414;1.393;1.118;1.101;1.206;1.249;1.259;1.27;1.28;1.291;1.301;1.306;1.31;1.314;1.318;1.323;1.3;1.277;1.254;1.231;1.208;1.185;1.162;1.139;1.116;1.093;1.07;1.047;1.024;1.001;0.978;0.955;0.932;0.909;0.886;0.863;0.841;0.82;0.799;0.778;0.757;0.735;0.714;0.693;0.672;0.651
12;0;0.212;0.424;0.636;0.848;1.133;1.339;1.063;1.103;1.003;1.068;1.043;1.484;1.55;1.585;1.615;1.655;1.695;1.785;1.8;1.765;1.56;1.279;1.8;1.83;1.645;1.62;1.304;1.284;1.404;1.454;1.466;1.478;1.49;1.502;1.515;1.52;1.525;1.53;1.535;1.54;1.511;1.483;1.455;1.426;1.398;1.37;1.341;1.313;1.285;1.256;1.228;1.2;1.171;1.143;1.115;1.086;1.058;1.03;1.001;0.973;0.951;0.93;0.908;0.887;0.865;0.844;0.822;0.8;0.779;0.757
13;0;0.244;0.488;0.733;0.977;1.306;1.543;1.236;1.284;1.166;1.227;1.191;1.69;1.764;1.805;1.841;1.886;1.931;2.034;2.05;2.011;1.779;1.461;2.05;2.085;1.876;1.847;1.489;1.467;1.602;1.66;1.674;1.687;1.701;1.714;1.728;1.733;1.739;1.745;1.751;1.757;1.723;1.689;1.656;1.622;1.588;1.555;1.521;1.487;1.454;1.42;1.386;1.353;1.319;1.285;1.252;1.218;1.184;1.151;1.117;1.083;1.061;1.039;1.017;0.995;0.974;0.952;0.93;0.908;0.886;0.864
14;0;0.276;0.553;0.829;1.106;1.479;1.748;1.409;1.464;1.329;1.387;1.339;1.896;1.978;2.026;2.066;2.116;2.166;2.282;2.299;2.257;1.998;1.642;2.299;2.339;2.106;2.074;1.675;1.65;1.8;1.866;1.881;1.896;1.911;1.926;1.941;1.947;1.954;1.96;1.967;1.973;1.934;1.895;1.856;1.817;1.778;1.739;1.7;1.661;1.622;1.583;1.544;1.506;1.467;1.428;1.389;1.35;1.311;1.272;1.233;1.194;1.171;1.149;1.127;1.104;1.082;1.06;1.037;1.015;0.993;0.97
15;0;0.309;0.617;0.926;1.235;1.652;1.952;1.582;1.645;1.492;1.546;1.487;2.101;2.193;2.247;2.292;2.347;2.402;2.53;2.549;2.502;2.218;1.824;2.549;2.594;2.337;2.301;1.861;1.833;1.998;2.071;2.088;2.104;2.121;2.137;2.154;2.161;2.168;2.176;2.183;2.19;2.146;2.102;2.057;2.013;1.969;1.924;1.88;1.836;1.791;1.747;1.703;1.658;1.614;1.57;1.526;1.481;1.437;1.393;1.348;1.304;1.281;1.259;1.236;1.213;1.19;1.168;1.145;1.122;1.1;1.077
16;0;0.341;0.682;1.023;1.364;1.825;2.156;1.755;1.825;1.655;1.705;1.635;2.307;2.407;2.467;2.518;2.578;2.638;2.778;2.798;2.748;2.437;2.006;2.798;2.849;2.568;2.528;2.046;2.016;2.197;2.277;2.295;2.313;2.331;2.349;2.367;2.375;2.383;2.391;2.399;2.407;2.358;2.308;2.258;2.209;2.159;2.109;2.06;2.01;1.96;1.911;1.861;1.811;1.762;1.712;1.662;1.613;1.563;1.514;1.464;1.414;1.391;1.368;1.345;1.322;1.299;1.276;1.253;1.23;1.207;1.184
17;0;0.37;0.74;1.111;1.481;1.982;2.342;2;2.079;1.887;1.957;1.893;2.581;2.694;2.761;2.816;2.884;2.951;3.104;3.126;3.074;2.739;2.267;3.132;3.188;2.885;2.84;2.314;2.279;2.479;2.568;2.588;2.609;2.629;2.65;2.67;2.678;2.686;2.694;2.702;2.709;2.655;2.6;2.545;2.49;2.435;2.38;2.325;2.271;2.216;2.161;2.106;2.051;1.996;1.941;1.887;1.832;1.777;1.722;1.667;1.612;1.584;1.556;1.528;1.5;1.472;1.444;1.416;1.388;1.36;1.331
18;0;0.399;0.799;1.198;1.597;2.139;2.528;2.244;2.332;2.119;2.209;2.151;2.856;2.981;3.054;3.114;3.19;3.265;3.43;3.453;3.4;3.042;2.528;3.465;3.528;3.202;3.152;2.583;2.543;2.761;2.859;2.882;2.905;2.928;2.951;2.974;2.981;2.989;2.996;3.004;3.012;2.951;2.891;2.831;2.771;2.711;2.651;2.591;2.531;2.471;2.411;2.351;2.291;2.231;2.171;2.111;2.051;1.991;1.931;1.87;1.81;1.777;1.744;1.711;1.678;1.645;1.612;1.579;1.546;1.513;1.479
19;0;0.428;0.857;1.285;1.714;2.296;2.713;2.489;2.585;2.351;2.461;2.41;3.131;3.269;3.348;3.413;3.495;3.578;3.756;3.78;3.726;3.344;2.788;3.799;3.868;3.519;3.464;2.851;2.806;3.043;3.149;3.175;3.201;3.226;3.252;3.277;3.285;3.292;3.299;3.306;3.314;3.248;3.183;3.118;3.053;2.987;2.922;2.857;2.792;2.726;2.661;2.596;2.531;2.465;2.4;2.335;2.27;2.204;2.139;2.074;2.009;1.97;1.932;1.894;1.856;1.818;1.78;1.742;1.704;1.665;1.627
20;0;0.458;0.915;1.373;1.83;2.452;2.899;2.733;2.838;2.583;2.713;2.668;3.405;3.556;3.641;3.711;3.801;3.892;4.082;4.107;4.052;3.646;3.049;4.132;4.208;3.836;3.776;3.119;3.069;3.325;3.44;3.468;3.496;3.525;3.553;3.581;3.588;3.595;3.602;3.609;3.616;3.545;3.475;3.404;3.334;3.264;3.193;3.123;3.052;2.982;2.911;2.841;2.77;2.7;2.629;2.559;2.488;2.418;2.348;2.277;2.207;2.163;2.12;2.077;2.034;1.991;1.948;1.905;1.862;1.818;1.775
