twa/tws;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
41;0;1.163;2.327;3.49;4.654;5.948;6.84;7.382;7.643;7.101;7.583;8.034;8.696;9.087;9.298;9.468;9.709;9.94;10.05;10.12;10.331;10.201;9.488;10.542;10.742;10.742;10.582;9.859;9.709;10.18;10.511;10.556;10.6;10.644;10.688;10.732;10.66;10.588;10.515;10.443;10.371;10.214;10.056;9.899;9.741;9.584;9.426;9.269;9.111;8.954;8.796;8.639;8.481;8.324;8.166;8.009;7.851;7.694;7.537;7.379;7.222;7.009;6.796;6.584;6.371;6.158;5.946;5.733;5.521;5.308;5.095
42;0;1.204;2.407;3.611;4.814;6.105;6.964;7.472;7.763;7.362;7.837;8.245;8.867;9.224;9.428;9.599;9.849;10.083;10.194;10.274;10.481;10.414;9.793;10.695;10.896;10.969;10.802;10.197;10.04;10.488;10.832;10.873;10.914;10.955;10.996;11.036;10.953;10.869;10.786;10.702;10.618;10.462;10.305;10.148;9.991;9.834;9.678;9.521;9.364;9.207;9.05;8.894;8.737;8.58;8.423;8.266;8.11;7.953;7.796;7.639;7.482;7.256;7.029;6.802;6.576;6.349;6.122;5.896;5.669;5.442;5.216
43;0;1.244;2.487;3.731;4.975;6.262;7.088;7.563;7.884;7.623;8.091;8.455;9.037;9.361;9.559;9.729;9.99;10.227;10.338;10.428;10.632;10.628;10.097;10.849;11.05;11.197;11.023;10.535;10.371;10.796;11.153;11.191;11.228;11.266;11.303;11.341;11.246;11.151;11.056;10.961;10.866;10.71;10.554;10.397;10.241;10.085;9.929;9.773;9.617;9.461;9.304;9.148;8.992;8.836;8.68;8.524;8.368;8.212;8.055;7.899;7.743;7.502;7.262;7.021;6.78;6.54;6.299;6.058;5.817;5.577;5.336
44;0;1.284;2.568;3.852;5.135;6.419;7.212;7.653;8.004;7.884;8.345;8.666;9.208;9.498;9.689;9.859;10.13;10.371;10.481;10.582;10.782;10.842;10.401;11.003;11.204;11.424;11.244;10.873;10.702;11.103;11.474;11.508;11.543;11.577;11.611;11.645;11.539;11.432;11.326;11.22;11.113;10.958;10.802;10.647;10.491;10.336;10.18;10.025;9.87;9.714;9.559;9.403;9.248;9.092;8.937;8.781;8.626;8.47;8.315;8.159;8.004;7.749;7.494;7.24;6.985;6.73;6.475;6.221;5.966;5.711;5.456
45;0;1.321;2.643;3.964;5.286;6.6;7.312;7.753;8.134;8.144;8.596;8.917;9.378;9.609;9.839;10.02;10.251;10.532;10.642;10.692;10.903;10.983;10.692;11.173;11.374;11.575;11.444;11.193;11.013;11.394;11.765;11.797;11.829;11.861;11.894;11.926;11.799;11.673;11.547;11.42;11.294;11.14;10.986;10.832;10.678;10.524;10.37;10.216;10.062;9.908;9.754;9.6;9.446;9.292;9.138;8.984;8.83;8.676;8.522;8.369;8.215;7.948;7.681;7.414;7.147;6.881;6.614;6.347;6.08;5.813;5.547
46;0;1.359;2.718;4.077;5.436;6.71;7.412;7.843;8.275;8.405;8.836;9.177;9.539;9.719;9.96;10.14;10.371;10.712;10.832;10.873;11.033;11.143;10.973;11.364;11.555;11.745;11.615;11.514;11.324;11.665;12.056;12.082;12.108;12.134;12.16;12.186;12.046;11.906;11.765;11.625;11.484;11.329;11.174;11.019;10.864;10.71;10.555;10.4;10.245;10.09;9.935;9.78;9.625;9.47;9.315;9.16;9.005;8.85;8.695;8.54;8.385;8.109;7.833;7.558;7.282;7.006;6.73;6.454;6.178;5.903;5.627
47;0;1.394;2.788;4.183;5.577;6.79;7.492;7.924;8.425;8.656;9.077;9.418;9.689;9.89;10.08;10.251;10.491;10.852;10.943;10.983;11.153;11.294;11.244;11.514;11.705;11.906;11.805;11.815;11.625;11.936;12.317;12.337;12.357;12.377;12.397;12.417;12.251;12.084;11.918;11.751;11.585;11.432;11.28;11.127;10.975;10.822;10.67;10.517;10.365;10.213;10.06;9.908;9.755;9.603;9.45;9.298;9.145;8.993;8.84;8.688;8.536;8.252;7.968;7.684;7.4;7.116;6.832;6.549;6.265;5.981;5.697
48;0;1.429;2.859;4.288;5.717;6.85;7.583;8.004;8.576;8.907;9.308;9.649;9.839;10;10.19;10.371;10.602;10.993;11.063;11.103;11.284;11.434;11.504;11.655;11.855;12.046;12.016;12.116;11.916;12.297;12.578;12.584;12.59;12.596;12.602;12.608;12.425;12.243;12.06;11.878;11.695;11.545;11.395;11.245;11.095;10.945;10.795;10.645;10.495;10.345;10.195;10.046;9.896;9.746;9.596;9.446;9.296;9.146;8.996;8.846;8.696;8.401;8.106;7.811;7.516;7.222;6.927;6.632;6.337;6.042;5.747
49;0;1.462;2.924;4.386;5.847;6.901;7.663;8.084;8.746;9.147;9.518;9.88;10.02;10.15;10.301;10.481;10.712;11.123;11.183;11.224;11.404;11.555;11.745;11.805;12.006;12.186;12.237;12.397;12.196;12.527;12.778;12.77;12.762;12.754;12.746;12.738;12.55;12.361;12.172;11.984;11.795;11.65;11.504;11.359;11.214;11.068;10.923;10.777;10.632;10.486;10.341;10.195;10.05;9.905;9.759;9.614;9.468;9.323;9.177;9.032;8.887;8.577;8.267;7.957;7.647;7.337;7.027;6.717;6.407;6.097;5.787
50;0;1.492;2.984;4.476;5.968;6.971;7.743;8.164;8.927;9.388;9.689;10.09;10.19;10.321;10.411;10.592;10.822;11.254;11.294;11.334;11.524;11.685;11.896;11.956;12.156;12.327;12.407;12.537;12.337;12.728;12.999;12.971;12.943;12.915;12.887;12.858;12.682;12.505;12.329;12.152;11.976;11.828;11.681;11.533;11.386;11.239;11.091;10.944;10.796;10.649;10.501;10.354;10.207;10.059;9.912;9.764;9.617;9.469;9.322;9.174;9.027;8.712;8.397;8.082;7.767;7.452;7.137;6.822;6.507;6.193;5.878
51;0;1.512;3.024;4.536;6.048;7.001;7.843;8.235;9.047;9.629;9.859;10.231;10.321;10.441;10.562;10.732;10.943;11.384;11.444;11.504;11.625;11.865;12.096;12.116;12.317;12.497;12.598;12.788;12.537;12.909;13.26;13.208;13.155;13.103;13.051;12.999;12.82;12.642;12.463;12.285;12.106;11.958;11.809;11.661;11.512;11.364;11.216;11.067;10.919;10.77;10.622;10.473;10.325;10.176;10.028;9.88;9.731;9.583;9.434;9.286;9.137;8.817;8.497;8.177;7.858;7.538;7.218;6.898;6.578;6.258;5.938
52;0;1.532;3.064;4.596;6.128;7.041;7.919;8.315;9.162;9.724;9.91;10.311;10.421;10.552;10.652;10.827;11.053;11.514;11.55;11.6;11.76;11.986;12.196;12.272;12.467;12.638;12.758;12.934;12.713;13.069;13.405;13.353;13.301;13.249;13.196;13.144;12.956;12.767;12.579;12.39;12.201;12.052;11.903;11.754;11.605;11.456;11.306;11.157;11.008;10.859;10.71;10.56;10.411;10.262;10.113;9.964;9.814;9.665;9.516;9.367;9.218;8.895;8.573;8.25;7.928;7.605;7.283;6.96;6.638;6.315;5.993
53;0;1.552;3.104;4.656;6.209;7.081;7.994;8.395;9.278;9.819;9.96;10.391;10.521;10.662;10.742;10.923;11.163;11.645;11.655;11.695;11.896;12.106;12.297;12.427;12.618;12.778;12.919;13.079;12.889;13.23;13.551;13.498;13.446;13.394;13.342;13.29;13.091;12.893;12.694;12.495;12.297;12.147;11.997;11.847;11.697;11.547;11.397;11.247;11.097;10.947;10.797;10.647;10.497;10.347;10.198;10.048;9.898;9.748;9.598;9.448;9.298;8.973;8.648;8.323;7.998;7.673;7.348;7.023;6.698;6.373;6.048
54;0;1.575;3.149;4.724;6.299;7.121;8.084;8.465;9.388;9.9;10.06;10.431;10.622;10.712;10.852;11.043;11.274;11.785;11.785;11.835;12.046;12.247;12.457;12.598;12.788;12.939;13.099;13.27;13.089;13.42;13.761;13.707;13.653;13.599;13.545;13.49;13.274;13.057;12.84;12.624;12.407;12.259;12.11;11.962;11.813;11.665;11.516;11.368;11.22;11.071;10.923;10.774;10.626;10.477;10.329;10.18;10.032;9.884;9.735;9.587;9.438;9.103;8.768;8.433;8.098;7.763;7.428;7.093;6.758;6.423;6.088
55;0;1.592;3.185;4.777;6.369;7.171;8.154;8.546;9.488;9.97;10.16;10.532;10.742;10.812;10.973;11.163;11.404;11.926;11.926;11.976;12.186;12.407;12.618;12.778;12.969;13.119;13.3;13.47;13.3;13.621;13.972;13.904;13.835;13.767;13.699;13.631;13.42;13.21;12.999;12.788;12.578;12.428;12.279;12.129;11.98;11.83;11.681;11.531;11.382;11.233;11.083;10.934;10.784;10.635;10.485;10.336;10.186;10.037;9.888;9.738;9.589;9.248;8.907;8.566;8.225;7.884;7.543;7.202;6.861;6.519;6.178
56;0;1.604;3.209;4.813;6.417;7.234;8.217;8.622;9.555;10.044;10.253;10.636;10.844;10.939;11.117;11.316;11.569;12.084;12.106;12.164;12.393;12.622;12.836;13.011;13.208;13.366;13.551;13.729;13.585;13.902;14.237;14.164;14.091;14.019;13.946;13.873;13.658;13.442;13.226;13.01;12.794;12.641;12.489;12.336;12.183;12.03;11.877;11.724;11.571;11.419;11.266;11.113;10.96;10.807;10.654;10.501;10.349;10.196;10.043;9.89;9.737;9.389;9.042;8.694;8.347;7.999;7.651;7.304;6.956;6.608;6.261
57;0;1.616;3.233;4.849;6.465;7.296;8.279;8.698;9.621;10.118;10.345;10.74;10.947;11.065;11.262;11.468;11.733;12.243;12.287;12.353;12.6;12.836;13.055;13.244;13.446;13.613;13.801;13.988;13.869;14.182;14.501;14.424;14.347;14.27;14.193;14.116;13.895;13.674;13.453;13.232;13.011;12.855;12.698;12.542;12.386;12.23;12.073;11.917;11.761;11.605;11.448;11.292;11.136;10.979;10.823;10.667;10.511;10.354;10.198;10.042;9.886;9.531;9.177;8.823;8.469;8.114;7.76;7.406;7.051;6.697;6.343
58;0;1.628;3.257;4.885;6.513;7.358;8.341;8.774;9.687;10.192;10.437;10.844;11.049;11.191;11.406;11.621;11.898;12.401;12.467;12.542;12.806;13.051;13.274;13.476;13.685;13.859;14.052;14.247;14.154;14.463;14.766;14.685;14.603;14.522;14.44;14.359;14.133;13.906;13.68;13.454;13.228;13.068;12.908;12.749;12.589;12.429;12.269;12.11;11.95;11.79;11.631;11.471;11.311;11.152;10.992;10.832;10.673;10.513;10.353;10.194;10.034;9.673;9.312;8.951;8.59;8.23;7.869;7.508;7.147;6.786;6.425
59;0;1.64;3.281;4.921;6.562;7.42;8.403;8.85;9.753;10.267;10.529;10.949;11.151;11.318;11.551;11.773;12.062;12.56;12.648;12.73;13.013;13.266;13.492;13.709;13.924;14.106;14.303;14.505;14.439;14.744;15.031;14.945;14.859;14.773;14.688;14.602;14.37;14.139;13.907;13.676;13.444;13.281;13.118;12.955;12.792;12.629;12.466;12.303;12.14;11.976;11.813;11.65;11.487;11.324;11.161;10.998;10.835;10.672;10.509;10.346;10.182;9.815;9.447;9.08;8.712;8.345;7.977;7.61;7.242;6.875;6.507
60;0;1.652;3.305;4.957;6.61;7.482;8.465;8.927;9.819;10.341;10.622;11.053;11.254;11.444;11.695;11.926;12.227;12.718;12.828;12.919;13.22;13.48;13.711;13.942;14.162;14.353;14.554;14.764;14.724;15.025;15.296;15.205;15.115;15.025;14.935;14.844;14.608;14.371;14.134;13.898;13.661;13.494;13.328;13.161;12.995;12.828;12.662;12.495;12.329;12.162;11.996;11.829;11.663;11.496;11.33;11.163;10.997;10.83;10.664;10.497;10.331;9.957;9.583;9.209;8.834;8.46;8.086;7.712;7.338;6.964;6.59
61;0;1.66;3.32;4.981;6.641;7.525;8.505;8.979;9.86;10.388;10.687;11.128;11.326;11.54;11.806;12.046;12.357;12.843;12.975;13.095;13.424;13.693;13.932;14.173;14.402;14.599;14.805;15.023;15.009;15.306;15.56;15.465;15.371;15.276;15.182;15.087;14.845;14.603;14.361;14.119;13.878;13.708;13.538;13.368;13.198;13.028;12.858;12.688;12.518;12.348;12.178;12.009;11.839;11.669;11.499;11.329;11.159;10.989;10.819;10.649;10.479;10.099;9.718;9.337;8.957;8.576;8.196;7.815;7.434;7.054;6.673
62;0;1.668;3.336;5.004;6.672;7.567;8.546;9.031;9.902;10.435;10.752;11.204;11.398;11.635;11.918;12.166;12.487;12.969;13.121;13.278;13.629;13.906;14.152;14.405;14.642;14.844;15.057;15.282;15.294;15.587;15.823;15.725;15.626;15.527;15.429;15.33;15.083;14.836;14.588;14.341;14.094;13.921;13.748;13.574;13.401;13.228;13.054;12.881;12.708;12.534;12.361;12.188;12.014;11.841;11.668;11.494;11.321;11.148;10.974;10.801;10.628;10.241;9.853;9.466;9.079;8.692;8.305;7.918;7.531;7.143;6.756
63;0;1.676;3.352;5.027;6.703;7.609;8.586;9.083;9.943;10.482;10.817;11.279;11.47;11.73;12.029;12.287;12.618;13.094;13.268;13.477;13.833;14.118;14.373;14.637;14.882;15.09;15.309;15.54;15.579;15.867;16.087;15.984;15.881;15.778;15.675;15.573;15.32;15.068;14.816;14.563;14.311;14.134;13.957;13.781;13.604;13.427;13.25;13.074;12.897;12.72;12.544;12.367;12.19;12.013;11.837;11.66;11.483;11.306;11.13;10.953;10.776;10.383;9.989;9.595;9.202;8.808;8.414;8.02;7.627;7.233;6.839
64;0;1.684;3.367;5.051;6.734;7.653;8.63;9.135;9.984;10.534;10.883;11.356;11.545;11.827;12.144;12.411;12.752;13.222;13.416;13.677;14.038;14.331;14.594;14.868;15.121;15.336;15.561;15.799;15.863;16.148;16.351;16.244;16.137;16.03;15.922;15.815;15.558;15.3;15.043;14.785;14.527;14.347;14.167;13.987;13.807;13.627;13.447;13.266;13.086;12.906;12.726;12.546;12.366;12.186;12.006;11.825;11.645;11.465;11.285;11.105;10.925;10.524;10.124;9.724;9.324;8.924;8.523;8.123;7.723;7.323;6.923
65;0;1.695;3.39;5.085;6.78;7.713;8.691;9.208;10.05;10.607;10.973;11.459;11.645;11.951;12.287;12.563;12.914;13.38;13.596;13.877;14.243;14.543;14.814;15.1;15.361;15.582;15.812;16.058;16.148;16.429;16.615;16.503;16.392;16.281;16.169;16.058;15.795;15.532;15.27;15.007;14.744;14.561;14.377;14.193;14.01;13.826;13.643;13.459;13.276;13.092;12.909;12.725;12.542;12.358;12.174;11.991;11.807;11.624;11.44;11.257;11.073;10.666;10.26;9.853;9.446;9.04;8.633;8.226;7.819;7.413;7.006
66;0;1.707;3.414;5.121;6.828;7.773;8.752;9.282;10.116;10.68;11.065;11.563;11.745;12.074;12.429;12.714;13.075;13.538;13.775;14.076;14.447;14.756;15.035;15.332;15.601;15.827;16.064;16.317;16.433;16.71;16.878;16.763;16.647;16.532;16.416;16.301;16.033;15.765;15.497;15.229;14.961;14.774;14.587;14.4;14.213;14.026;13.839;13.652;13.465;13.278;13.091;12.904;12.717;12.53;12.343;12.156;11.969;11.782;11.595;11.409;11.222;10.808;10.395;9.982;9.569;9.155;8.742;8.329;7.916;7.502;7.089
67;0;1.719;3.438;5.157;6.877;7.833;8.813;9.356;10.182;10.753;11.157;11.666;11.845;12.197;12.572;12.865;13.237;13.697;13.955;14.276;14.652;14.969;15.256;15.564;15.84;16.073;16.316;16.576;16.718;16.991;17.142;17.023;16.903;16.783;16.663;16.543;16.27;15.997;15.724;15.451;15.177;14.987;14.797;14.606;14.416;14.226;14.035;13.845;13.654;13.464;13.274;13.083;12.893;12.703;12.512;12.322;12.131;11.941;11.751;11.56;11.37;10.95;10.53;10.111;9.691;9.271;8.851;8.432;8.012;7.592;7.172
68;0;1.731;3.462;5.194;6.925;7.894;8.875;9.43;10.249;10.826;11.25;11.769;11.946;12.321;12.714;13.017;13.398;13.855;14.134;14.475;14.856;15.181;15.476;15.795;16.08;16.319;16.568;16.834;17.003;17.272;17.406;17.282;17.158;17.034;16.91;16.786;16.508;16.229;15.951;15.672;15.394;15.2;15.006;14.813;14.619;14.425;14.231;14.038;13.844;13.65;13.456;13.262;13.069;12.875;12.681;12.487;12.294;12.1;11.906;11.712;11.518;11.092;10.666;10.24;9.813;9.387;8.961;8.535;8.108;7.682;7.256
69;0;1.743;3.486;5.23;6.973;7.954;8.936;9.504;10.315;10.9;11.342;11.873;12.046;12.444;12.856;13.168;13.56;14.014;14.314;14.675;15.089;15.394;15.697;16.027;16.32;16.565;16.819;17.093;17.288;17.553;17.67;17.542;17.413;17.285;17.157;17.029;16.745;16.462;16.178;15.894;15.611;15.414;15.216;15.019;14.822;14.625;14.428;14.23;14.033;13.836;13.639;13.442;13.244;13.047;12.85;12.653;12.456;12.258;12.061;11.864;11.667;11.234;10.801;10.369;9.936;9.503;9.07;8.637;8.205;7.772;7.339
70;0;1.755;3.51;5.266;7.021;8.014;8.997;9.579;10.381;10.973;11.434;11.976;12.146;12.568;12.999;13.32;13.721;14.172;14.493;14.874;15.336;15.667;15.918;16.259;16.56;16.81;17.071;17.352;17.573;17.833;17.934;17.801;17.669;17.536;17.404;17.272;16.983;16.694;16.405;16.116;15.827;15.627;15.426;15.226;15.025;14.824;14.624;14.423;14.223;14.022;13.821;13.621;13.42;13.22;13.019;12.818;12.618;12.417;12.217;12.016;11.815;11.376;10.937;10.497;10.058;9.619;9.179;8.74;8.301;7.862;7.422
71;0;1.765;3.53;5.294;7.059;8.049;9.033;9.61;10.419;11.041;11.525;12.072;12.266;12.705;13.162;13.515;13.933;14.377;14.703;15.093;15.559;15.902;16.157;16.513;16.824;17.087;17.352;17.642;17.876;18.131;18.251;18.123;17.994;17.866;17.738;17.61;17.312;17.016;16.719;16.424;16.128;15.922;15.716;15.509;15.303;15.097;14.891;14.684;14.478;14.272;14.066;13.859;13.653;13.447;13.241;13.034;12.828;12.622;12.415;12.209;12.003;11.554;11.105;10.655;10.206;9.757;9.308;8.859;8.41;7.961;7.511
72;0;1.774;3.549;5.323;7.097;8.084;9.069;9.641;10.457;11.109;11.617;12.168;12.387;12.843;13.325;13.712;14.146;14.583;14.915;15.313;15.784;16.138;16.397;16.769;17.09;17.365;17.634;17.934;18.182;18.431;18.57;18.446;18.322;18.198;18.074;17.95;17.644;17.339;17.035;16.731;16.429;16.217;16.005;15.793;15.581;15.369;15.158;14.946;14.734;14.522;14.31;14.098;13.886;13.674;13.462;13.25;13.038;12.826;12.614;12.402;12.19;11.731;11.273;10.814;10.355;9.896;9.437;8.978;8.519;8.06;7.601
73;0;1.784;3.568;5.352;7.135;8.119;9.105;9.672;10.495;11.177;11.708;12.265;12.507;12.982;13.489;13.909;14.361;14.79;15.127;15.534;16.01;16.376;16.647;17.026;17.358;17.645;17.918;18.227;18.49;18.732;18.892;18.772;18.652;18.532;18.412;18.292;17.977;17.663;17.351;17.04;16.73;16.512;16.295;16.077;15.86;15.642;15.424;15.207;14.989;14.772;14.554;14.336;14.119;13.901;13.684;13.466;13.248;13.031;12.813;12.596;12.378;11.909;11.44;10.972;10.503;10.034;9.565;9.096;8.628;8.159;7.69
74;0;1.793;3.587;5.38;7.173;8.154;9.141;9.703;10.534;11.246;11.799;12.361;12.628;13.12;13.654;14.108;14.576;14.998;15.341;15.757;16.238;16.615;16.906;17.285;17.627;17.927;18.204;18.522;18.799;19.036;19.215;19.099;18.984;18.868;18.752;18.636;18.312;17.989;17.668;17.349;17.031;16.808;16.584;16.361;16.138;15.915;15.691;15.468;15.245;15.022;14.798;14.575;14.352;14.128;13.905;13.682;13.459;13.235;13.012;12.789;12.566;12.087;11.608;11.13;10.651;10.172;9.694;9.215;8.737;8.258;7.779
75;0;1.803;3.606;5.409;7.212;8.189;9.177;9.734;10.572;11.314;11.891;12.457;12.749;13.26;13.82;14.307;14.793;15.208;15.556;15.98;16.466;16.855;17.167;17.545;17.898;18.21;18.492;18.819;19.111;19.341;19.54;19.429;19.317;19.206;19.094;18.983;18.649;18.316;17.986;17.658;17.332;17.103;16.874;16.645;16.416;16.187;15.958;15.729;15.5;15.271;15.042;14.814;14.585;14.356;14.127;13.898;13.669;13.44;13.211;12.982;12.753;12.265;11.776;11.288;10.799;10.311;9.822;9.334;8.845;8.357;7.869
76;0;1.812;3.625;5.437;7.25;8.225;9.214;9.765;10.61;11.382;11.982;12.554;12.87;13.399;13.986;14.508;15.012;15.418;15.772;16.205;16.696;17.097;17.429;17.807;18.171;18.496;18.781;19.118;19.424;19.648;19.868;19.76;19.653;19.546;19.439;19.332;18.987;18.645;18.305;17.968;17.633;17.398;17.164;16.929;16.694;16.46;16.225;15.991;15.756;15.521;15.287;15.052;14.818;14.583;14.348;14.114;13.879;13.645;13.41;13.175;12.941;12.442;11.944;11.446;10.948;10.449;9.951;9.453;8.954;8.456;7.958
77;0;1.822;3.644;5.466;7.288;8.26;9.25;9.796;10.648;11.45;12.073;12.65;12.991;13.539;14.152;14.709;15.231;15.63;15.989;16.431;16.927;17.34;17.693;18.071;18.445;18.782;19.072;19.418;19.739;19.957;20.197;20.094;19.991;19.888;19.785;19.682;19.327;18.975;18.625;18.278;17.934;17.693;17.453;17.213;16.973;16.732;16.492;16.252;16.011;15.771;15.531;15.291;15.05;14.81;14.57;14.33;14.089;13.849;13.609;13.369;13.128;12.62;12.112;11.604;11.096;10.588;10.08;9.571;9.063;8.555;8.047
78;0;1.831;3.663;5.494;7.326;8.295;9.286;9.827;10.686;11.518;12.164;12.746;13.112;13.679;14.32;14.912;15.452;15.843;16.208;16.659;17.16;17.584;17.959;18.336;18.721;19.071;19.365;19.721;20.056;20.267;20.528;20.429;20.331;20.232;20.134;20.035;19.669;19.306;18.946;18.589;18.235;17.989;17.743;17.497;17.251;17.005;16.759;16.513;16.267;16.021;15.775;15.529;15.283;15.037;14.791;14.546;14.3;14.054;13.808;13.562;13.316;12.798;12.28;11.762;11.244;10.726;10.208;9.69;9.172;8.654;8.136
79;0;1.841;3.682;5.523;7.364;8.33;9.322;9.858;10.724;11.587;12.256;12.842;13.234;13.82;14.488;15.115;15.674;16.057;16.427;16.888;17.394;17.83;18.226;18.609;18.998;19.361;19.659;20.025;20.375;20.58;20.861;20.767;20.673;20.579;20.485;20.39;20.013;19.639;19.268;18.9;18.535;18.284;18.032;17.781;17.529;17.277;17.026;16.774;16.523;16.271;16.019;15.768;15.516;15.265;15.013;14.761;14.51;14.258;14.007;13.755;13.503;12.976;12.448;11.92;11.392;10.864;10.337;9.809;9.281;8.753;8.226
80;0;1.851;3.701;5.552;7.402;8.365;9.358;9.89;10.762;11.655;12.347;12.939;13.356;13.961;14.656;15.319;15.897;16.273;16.648;17.118;17.629;18.077;18.495;18.922;19.319;19.652;19.955;20.33;20.696;20.894;21.196;21.106;21.017;20.927;20.837;20.748;20.358;19.972;19.59;19.211;18.836;18.579;18.322;18.065;17.807;17.55;17.293;17.035;16.778;16.521;16.264;16.006;15.749;15.492;15.235;14.977;14.72;14.463;14.205;13.948;13.691;13.153;12.616;12.078;11.541;11.003;10.465;9.928;9.39;8.852;8.315
81;0;1.86;3.719;5.579;7.438;8.399;9.392;9.921;10.801;11.723;12.436;13.034;13.466;14.08;14.789;15.478;16.058;16.426;16.805;17.281;17.797;18.255;18.683;19.118;19.524;19.867;20.174;20.56;20.935;21.128;21.451;21.366;21.28;21.195;21.11;21.025;20.641;20.26;19.882;19.508;19.137;18.874;18.611;18.349;18.086;17.823;17.56;17.297;17.034;16.771;16.508;16.245;15.983;15.72;15.457;15.194;14.931;14.668;14.405;14.142;13.88;13.332;12.784;12.237;11.689;11.141;10.594;10.046;9.498;8.951;8.403
82;0;1.869;3.737;5.606;7.474;8.433;9.426;9.952;10.84;11.791;12.525;13.129;13.576;14.199;14.921;15.636;16.218;16.579;16.961;17.445;17.965;18.432;18.872;19.314;19.73;20.082;20.393;20.789;21.175;21.363;21.705;21.625;21.544;21.464;21.383;21.303;20.923;20.547;20.174;19.804;19.438;19.17;18.901;18.633;18.364;18.096;17.827;17.559;17.29;17.022;16.753;16.485;16.216;15.948;15.679;15.411;15.142;14.874;14.605;14.337;14.068;13.51;12.953;12.395;11.837;11.28;10.722;10.164;9.607;9.049;8.491
83;0;1.878;3.755;5.633;7.51;8.467;9.46;9.983;10.88;11.859;12.615;13.225;13.686;14.319;15.054;15.795;16.379;16.733;17.118;17.609;18.133;18.609;19.061;19.511;19.935;20.297;20.612;21.019;21.415;21.598;21.96;21.884;21.808;21.732;21.656;21.58;21.205;20.834;20.466;20.101;19.739;19.465;19.191;18.917;18.643;18.368;18.094;17.82;17.546;17.272;16.998;16.724;16.45;16.175;15.901;15.627;15.353;15.079;14.805;14.531;14.257;13.689;13.121;12.554;11.986;11.418;10.85;10.283;9.715;9.147;8.58
84;0;1.887;3.773;5.66;7.547;8.501;9.494;10.014;10.919;11.928;12.704;13.32;13.796;14.438;15.186;15.953;16.54;16.886;17.274;17.773;18.3;18.787;19.25;19.707;20.141;20.512;20.831;21.248;21.655;21.833;22.214;22.143;22.072;22;21.929;21.858;21.488;21.121;20.758;20.397;20.04;19.76;19.48;19.201;18.921;18.641;18.362;18.082;17.802;17.522;17.243;16.963;16.683;16.403;16.124;15.844;15.564;15.284;15.005;14.725;14.445;13.867;13.29;12.712;12.134;11.557;10.979;10.401;9.823;9.246;8.668
85;0;1.896;3.791;5.687;7.583;8.536;9.529;10.045;10.958;11.996;12.793;13.415;13.907;14.557;15.319;16.111;16.7;17.039;17.431;17.936;18.468;18.964;19.439;19.903;20.346;20.732;21.05;21.478;21.895;22.067;22.469;22.402;22.335;22.269;22.202;22.135;21.77;21.408;21.049;20.694;20.341;20.055;19.77;19.485;19.199;18.914;18.629;18.343;18.058;17.773;17.487;17.202;16.917;16.631;16.346;16.061;15.775;15.49;15.204;14.919;14.634;14.046;13.458;12.87;12.283;11.695;11.107;10.519;9.932;9.344;8.756
86;0;1.905;3.809;5.714;7.619;8.57;9.563;10.076;10.997;12.064;12.883;13.51;14.017;14.676;15.451;16.27;16.861;17.193;17.587;18.1;18.636;19.141;19.627;20.099;20.552;20.956;21.269;21.707;22.135;22.302;22.723;22.661;22.599;22.537;22.475;22.412;22.053;21.695;21.341;20.99;20.642;20.351;20.06;19.769;19.478;19.187;18.896;18.605;18.314;18.023;17.732;17.441;17.15;16.859;16.568;16.277;15.986;15.695;15.404;15.113;14.822;14.225;13.627;13.029;12.431;11.833;11.236;10.638;10.04;9.442;8.844
87;0;1.914;3.827;5.741;7.655;8.604;9.597;10.107;11.036;12.132;12.972;13.606;14.127;14.796;15.584;16.428;17.022;17.346;17.743;18.264;18.804;19.319;19.816;20.295;20.757;21.181;21.488;21.937;22.375;22.537;22.978;22.92;22.863;22.805;22.748;22.69;22.335;21.983;21.633;21.287;20.943;20.646;20.349;20.053;19.756;19.46;19.163;18.867;18.57;18.273;17.977;17.68;17.384;17.087;16.79;16.494;16.197;15.901;15.604;15.307;15.011;14.403;13.795;13.187;12.58;11.972;11.364;10.756;10.148;9.541;8.933
88;0;1.923;3.846;5.768;7.691;8.638;9.631;10.138;11.075;12.2;13.061;13.701;14.237;14.915;15.716;16.586;17.182;17.499;17.9;18.428;18.972;19.496;20.005;20.491;20.963;21.405;21.707;22.166;22.615;22.771;23.232;23.179;23.126;23.073;23.02;22.967;22.617;22.27;21.925;21.583;21.244;20.941;20.639;20.337;20.035;19.733;19.43;19.128;18.826;18.524;18.222;17.919;17.617;17.315;17.013;16.71;16.408;16.106;15.804;15.502;15.199;14.582;13.964;13.346;12.728;12.11;11.492;10.875;10.257;9.639;9.021
